City,Temperature (°C),Temperature (°F),Humidity (%),Air Quality Index,Timestamp
Los Angeles,20.2,68.4,75,47,2025-06-25 19:38:58
Yucaipa,25.1,77.2,48,59,2025-06-25 19:38:58
